Timestamp,Discord username,Seeking,Organization,Intern Type,Start date,End date,Newsletter,Status,Portal
10/6/2023 9:16:32,seanthesun,Full time,Aurora Postgres,First-time,5/14/2023,8/4/2023,Yes,Waiting,ASP
10/6/2023 10:12:44,anon,Full time,AWS,First-time,5/15/2023,8/4/2023,Yes,Waiting,ECT
10/6/2023 10:19:21,AAboys,Internship,Kindle Reader,First-time,5/22/2023,8/11/2023,Yes,Waiting,ASP
10/6/2023 10:27:47,allanli,Full time,AWS IoT,Returning,5/8/2023,7/28/2023,Yes,Waiting,ASP
10/6/2023 10:41:09,,Full time,Finance,Returning,5/25/2023,8/12/2023,Yes,Portal Update,ASP
10/6/2023 11:46:01,fadezeded,Full time,SCOT,First-time,5/30/2023,8/18/2023,Yes,Waiting,ASP
11/10/2023 15:31:56,danieltruongg,Full time,AWS Customer Experience,First-time,5/30/2023,8/4/2023,Yes,Waiting,ASP
11/10/2023 16:06:10,Han,Full time,AWS - Annapurna Labs,First-time,5/22/2023,8/11/2023,Yes,Offer,ECT
10/6/2023 17:31:40,cryp✔️,Full time,AWS Workflows (Step Functions),Returning,5/8/2023,8/26/2023,Yes,Waiting,ASP
10/6/2023 19:55:04,bettania,Internship,devices,First-time,5/22/2023,8/11/2023,Yes,Waiting,ASP
10/7/2023 10:43:45,awesomedude357,Full time,AWS IOT,First-time,5/22/2023,8/11/2023,Yes,Waiting,ASP
10/8/2023 18:37:31,constantineW,Internship,Devices,First-time,5/22/2023,8/11/2023,Yes,Waiting,ASP
10/12/2023 10:47:44,Qoignis,Full time,Consumer. Stores,Returning,6/5/2023,8/25/2023,Yes,Waiting,ASP
10/14/2023 10:10:00,vasing,Full time,AWS IoT,First-time,5/30/2023,8/18/2023,Yes,Waiting,ASP
10/14/2023 13:50:27,ifly,Full time,AWS ,First-time,5/22/2023,8/11/2023,Yes,Waiting,ASP
10/14/2023 18:28:09,Dronk,Full time,Amazon Fresh,First-time,5/30/2023,8/18/2023,Yes,Waiting,ASP
10/14/2023 23:07:24,andyyzz,Full time,Region Flex,First-time,5/15/2023,8/4/2023,Yes,Waiting,ASP
10/15/2023 8:43:52,Eileeeen,Full time,Ads,First-time,8/23/2022,12/9/2022,No,Waiting,ASP
11/9/2023 12:02:18,kkkk,Full time,Payments,First-time,5/15/2023,8/25/2023,Yes,Waiting,ASP
11/9/2023 12:05:04,Miles123K,Full time,AWS Commerce Platform,First-time,5/22/2023,8/11/2023,Yes,Waiting,ASP
11/9/2023 12:07:39,skranbets,Full time,Ads (MADS),Returning,6/5/2023,8/25/2023,Yes,Waiting,ASP
11/9/2023 12:08:01,pc6,Full time,Alexa Shopping,First-time,5/22/2023,8/11/2023,Yes,Waiting,ASP
11/9/2023 12:13:20,dr.aight,Internship,aws,Returning,5/1/2023,8/18/2023,Yes,Waiting,ASP
11/9/2023 12:18:21,dr. aight,Internship,AWS Backup,Returning,5/21/2024,8/11/2024,Yes,Offer,ASP
11/10/2023 13:04:05,jonak,Internship,Alexa,Returning,5/15/2023,8/4/2023,Yes,Offer,ASP
11/9/2023 12:30:18,,Full time,SPS,First-time,6/26/2023,9/15/2023,No,Waiting,ASP
11/9/2023 12:34:53,wakaka,Full time,AWS,First-time,5/8/2023,8/25/2023,Yes,Waiting,ASP
